Char Dec	Hex	
📼	128252	1F4FC	
📽	128253	1F4FD	
📿	128255	1F4FF	
🔀	128256	1F500	
🔁	128257	1F501	
🔂	128258	1F502	
🔃	128259	1F503	
🔄	128260	1F504	
🔅	128261	1F505	
🔆	128262	1F506	
🔇	128263	1F507	
🔈	128264	1F508	
🔉	128265	1F509	
🔊	128266	1F50A	
🔋	128267	1F50B	
🔌	128268	1F50C	
🔍	128269	1F50D	
🔎	128270	1F50E	
🔏	128271	1F50F	
🔐	128272	1F510	
🔑	128273	1F511	
🔒	128274	1F512	
🔓	128275	1F513	
🔔	128276	1F514	
🔕	128277	1F515	
🔖	128278	1F516	
🔗	128279	1F517	
🔘	128280	1F518	
🔙	128281	1F519	
🔚	128282	1F51A	
🔛	128283	1F51B	
🔜	128284	1F51C	
🔝	128285	1F51D	
🔞	128286	1F51E	
🔟	128287	1F51F	
🔠	128288	1F520	
🔡	128289	1F521	
🔢	128290	1F522	
🔣	128291	1F523	
🔤	128292	1F524	
🔥	128293	1F525	
🔦	128294	1F526	
🔧	128295	1F527	
🔨	128296	1F528	
🔩	128297	1F529	
🔪	128298	1F52A	
🔫	128299	1F52B	
🔬	128300	1F52C	
🔭	128301	1F52D	
🔮	128302	1F52E	
🔯	128303	1F52F	
🔰	128304	1F530	
🔱	128305	1F531	
🔲	128306	1F532	
🔳	128307	1F533	
🔴	128308	1F534	
🔵	128309	1F535	
🔶	128310	1F536	
🔷	128311	1F537	
🔸	128312	1F538	
🔹	128313	1F539	
🔺	128314	1F53A	
🔻	128315	1F53B	
🔼	128316	1F53C	
🔽	128317	1F53D	
🕉	128329	1F549	
🕊	128330	1F54A	
🕋	128331	1F54B	
🕌	128332	1F54C	
🕍	128333	1F54D	
🕎	128334	1F54E	
🕐	128336	1F550	
🕑	128337	1F551	
🕒	128338	1F552	
🕓	128339	1F553	
🕔	128340	1F554	
🕕	128341	1F555	
🕖	128342	1F556	
🕗	128343	1F557	
🕘	128344	1F558	
🕙	128345	1F559	
🕚	128346	1F55A	
🕛	128347	1F55B	
🕜	128348	1F55C	
🕝	128349	1F55D	
🕞	128350	1F55E	
🕟	128351	1F55F	
🕠	128352	1F560	
🕡	128353	1F561	
🕢	128354	1F562	
🕣	128355	1F563	
🕤	128356	1F564	
🕥	128357	1F565	
🕦	128358	1F566	
🕧	128359	1F567	
🕯	128367	1F56F	
🕰	128368	1F570	
🕳	128371	1F573	
🕴	128372	1F574	
🕵	128373	1F575	
🕶	128374	1F576	
🕷	128375	1F577	
🕸	128376	1F578	
🕹	128377	1F579	
🕺	128378	1F57A	
🖇	128391	1F587	
🖊	128394	1F58A	
🖋	128395	1F58B	
🖌	128396	1F58C	
🖍	128397	1F58D	
🖐	128400	1F590	
🖕	128405	1F595	
🖖	128406	1F596	
🖤	128420	1F5A4	
🖥	128421	1F5A5	
🖨	128424	1F5A8	
🖱	128433	1F5B1	
🖲	128434	1F5B2	
🖼	128444	1F5BC	
🗂	128450	1F5C2	
🗃	128451	1F5C3	
🗄	128452	1F5C4	
🗑	128465	1F5D1	
🗒	128466	1F5D2	
🗓	128467	1F5D3	
🗜	128476	1F5DC	
🗝	128477	1F5DD	
